No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.560,1,140
2,00:00:05.600,00:00:09.080,141,228
3,00:00:09.120,00:00:11.640,229,292
4,00:00:11.680,00:00:16.320,293,409
5,00:00:16.360,00:00:18.600,410,466
6,00:00:18.640,00:00:37.000,467,926
7,00:00:37.040,00:00:39.440,927,987
8,00:00:39.480,00:00:46.120,988,1154
9,00:00:46.160,00:00:49.840,1155,1247
10,00:00:49.880,00:01:00.720,1248,1519
11,00:01:00.760,00:01:05.360,1520,1635
12,00:01:05.400,00:01:17.680,1636,1943
13,00:01:17.720,00:01:22.480,1944,2063
14,00:01:22.520,00:01:25.680,2064,2143
15,00:01:25.720,00:01:27.600,2144,2191
16,00:01:27.640,00:01:32.800,2192,2321
17,00:01:32.840,00:01:34.640,2322,2367
18,00:01:34.680,00:01:39.960,2368,2500
19,00:01:40.000,00:01:46.320,2501,2659
20,00:01:46.360,00:01:48.480,2660,2713
21,00:01:48.520,00:01:51.880,2714,2798
22,00:01:51.920,00:01:55.640,2799,2892
23,00:01:55.680,00:02:00.120,2893,3004
24,00:02:00.160,00:02:06.800,3005,3171
25,00:02:06.840,00:02:12.200,3172,3306
26,00:02:12.240,00:02:17.000,3307,3426
27,00:02:17.040,00:02:21.560,3427,3540
28,00:02:21.600,00:02:26.120,3541,3654
29,00:02:26.160,00:02:35.600,3655,3891
