No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:07.800,1,196
2,00:00:07.840,00:00:14.600,197,366
3,00:00:14.640,00:00:14.640,367,367
4,00:00:14.680,00:00:20.720,368,519
5,00:00:20.760,00:00:27.480,520,688
6,00:00:27.520,00:00:32.000,689,801
7,00:00:32.040,00:00:39.960,802,1000
8,00:00:40.000,00:00:42.040,1001,1052
9,00:00:42.080,00:00:45.720,1053,1144
10,00:00:45.760,00:00:49.640,1145,1242
11,00:00:49.680,00:00:51.800,1243,1296
12,00:00:51.840,00:00:54.240,1297,1357
13,00:00:54.280,00:00:56.080,1358,1403
14,00:00:56.120,00:00:58.120,1404,1454
15,00:00:58.160,00:00:59.320,1455,1484
16,00:00:59.360,00:01:03.840,1485,1597
17,00:01:03.880,00:01:07.680,1598,1693
18,00:01:07.720,00:01:11.280,1694,1783
19,00:01:11.320,00:01:13.200,1784,1831
20,00:01:13.240,00:01:16.680,1832,1918
21,00:01:16.720,00:01:20.000,1919,2001
22,00:01:20.040,00:01:24.360,2002,2110
23,00:01:24.400,00:01:27.680,2111,2193
24,00:01:27.720,00:01:30.320,2194,2259
25,00:01:30.360,00:01:35.160,2260,2380
26,00:01:35.200,00:01:37.760,2381,2445
27,00:01:37.800,00:01:39.640,2446,2492
28,00:01:39.680,00:01:41.880,2493,2548
29,00:01:41.920,00:01:45.160,2549,2630
30,00:01:45.200,00:01:51.080,2631,2778
31,00:01:51.120,00:01:54.640,2779,2867
32,00:01:54.680,00:01:58.040,2868,2952
33,00:01:58.080,00:02:03.440,2953,3087
34,00:02:03.480,00:02:06.160,3088,3155
35,00:02:06.200,00:02:19.400,3156,3486
36,00:02:19.440,00:02:23.120,3487,3579
37,00:02:23.160,00:02:27.040,3580,3677
38,00:02:27.080,00:02:28.720,3678,3719
39,00:02:28.760,00:02:31.760,3720,3795
40,00:02:31.800,00:02:35.400,3796,3886
41,00:02:35.440,00:02:37.720,3887,3944
42,00:02:37.760,00:02:40.840,3945,4022
43,00:02:40.880,00:02:43.560,4023,4090
44,00:02:43.600,00:02:46.280,4091,4158
45,00:02:46.320,00:02:53.720,4159,4344
46,00:02:53.760,00:02:57.840,4345,4447
47,00:02:57.880,00:02:59.280,4448,4483
48,00:02:59.320,00:03:02.200,4484,4556
49,00:03:02.240,00:03:05.440,4557,4637
50,00:03:05.480,00:03:05.480,4638,4638
51,00:03:05.520,00:03:08.800,4639,4721
52,00:03:08.840,00:03:12.840,4722,4822
53,00:03:12.880,00:03:16.120,4823,4904
54,00:03:16.160,00:03:20.080,4905,5003
55,00:03:20.120,00:03:23.280,5004,5083
56,00:03:23.320,00:03:25.680,5084,5143
57,00:03:25.720,00:03:29.360,5144,5235
58,00:03:29.400,00:03:32.000,5236,5301
59,00:03:32.040,00:03:35.320,5302,5384
60,00:03:35.360,00:03:39.400,5385,5486
61,00:03:39.440,00:03:42.320,5487,5559
62,00:03:42.360,00:03:44.880,5560,5623
63,00:03:44.920,00:03:47.560,5624,5690
64,00:03:47.600,00:03:54.680,5691,5868
65,00:03:54.720,00:03:57.080,5869,5928
66,00:03:57.120,00:04:02.680,5929,6068
67,00:04:02.720,00:04:09.120,6069,6229
68,00:04:09.160,00:04:11.680,6230,6293
69,00:04:11.720,00:04:13.960,6294,6350
70,00:04:14.000,00:04:16.360,6351,6410
71,00:04:16.400,00:04:18.120,6411,6454
72,00:04:18.160,00:04:26.080,6455,6653
73,00:04:26.120,00:04:30.200,6654,6756
74,00:04:30.240,00:04:31.960,6757,6800
75,00:04:32.000,00:04:35.480,6801,6888
76,00:04:35.520,00:04:37.520,6889,6939
77,00:04:37.560,00:04:40.560,6940,7015
78,00:04:40.600,00:04:43.960,7016,7100
79,00:04:44.000,00:04:46.480,7101,7163
80,00:04:46.520,00:04:49.560,7164,7240
81,00:04:49.600,00:04:52.600,7241,7316
82,00:04:52.640,00:04:53.520,7317,7339
83,00:04:53.560,00:04:55.800,7340,7396
84,00:04:55.840,00:05:01.000,7397,7526
85,00:05:01.040,00:05:05.840,7527,7647
86,00:05:05.880,00:05:09.360,7648,7735
