No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.520,1,89
2,00:00:03.560,00:00:06.320,90,159
3,00:00:06.360,00:00:09.800,160,246
4,00:00:09.840,00:00:11.920,247,299
5,00:00:11.960,00:00:15.960,300,400
6,00:00:16.000,00:00:17.280,401,433
7,00:00:17.320,00:00:20.400,434,511
8,00:00:20.440,00:00:23.280,512,583
9,00:00:23.320,00:00:25.480,584,638
10,00:00:25.520,00:00:26.800,639,671
11,00:00:26.840,00:00:28.320,672,709
12,00:00:28.360,00:00:29.520,710,739
13,00:00:29.560,00:00:33.080,740,828
14,00:00:33.120,00:00:36.440,829,912
15,00:00:36.480,00:00:39.920,913,999
16,00:00:39.960,00:00:41.040,1000,1027
17,00:00:41.080,00:00:42.360,1028,1060
18,00:00:42.400,00:00:45.400,1061,1136
19,00:00:45.440,00:00:47.200,1137,1181
20,00:00:47.240,00:00:49.000,1182,1226
21,00:00:49.040,00:00:50.320,1227,1259
22,00:00:50.360,00:00:52.240,1260,1307
23,00:00:52.280,00:00:54.400,1308,1361
24,00:00:54.440,00:00:55.840,1362,1397
25,00:00:55.880,00:00:56.880,1398,1423
26,00:00:56.920,00:00:57.800,1424,1446
27,00:00:57.840,00:01:00.280,1447,1508
28,00:01:00.320,00:01:01.560,1509,1540
29,00:01:01.600,00:01:02.760,1541,1570
30,00:01:02.800,00:01:04.760,1571,1620
31,00:01:04.800,00:01:07.000,1621,1676
32,00:01:07.040,00:01:08.440,1677,1712
33,00:01:08.480,00:01:09.040,1713,1727
