No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.680,1,18
2,00:00:00.720,00:00:03.200,19,81
3,00:00:03.240,00:00:05.480,82,138
4,00:00:05.520,00:00:08.760,139,220
5,00:00:08.800,00:00:10.480,221,263
6,00:00:10.520,00:00:12.560,264,315
7,00:00:12.600,00:00:14.120,316,354
8,00:00:14.160,00:00:15.280,355,383
9,00:00:15.320,00:00:18.520,384,464
10,00:00:18.560,00:00:26.880,465,673
11,00:00:26.920,00:00:31.720,674,794
12,00:00:31.760,00:00:36.080,795,903
13,00:00:36.120,00:00:41.080,904,1028
14,00:00:41.120,00:00:52.800,1029,1321
15,00:00:52.840,00:00:56.480,1322,1413
16,00:00:56.520,00:01:05.000,1414,1626
17,00:01:05.040,00:01:11.960,1627,1800
18,00:01:12.000,00:01:32.360,1801,2310
19,00:01:32.400,00:01:34.360,2311,2360
20,00:01:34.400,00:01:36.520,2361,2414
21,00:01:36.560,00:01:40.400,2415,2511
22,00:01:40.440,00:01:50.040,2512,2752
23,00:01:50.080,00:01:56.160,2753,2905
24,00:01:56.200,00:01:59.720,2906,2994
25,00:01:59.760,00:02:11.360,2995,3285
26,00:02:11.400,00:02:21.600,3286,3541
