No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.400,1,11
2,00:00:00.440,00:00:07.840,12,197
3,00:00:07.880,00:00:11.160,198,280
4,00:00:11.200,00:00:16.240,281,407
5,00:00:16.280,00:00:23.680,408,593
6,00:00:23.720,00:00:31.400,594,786
7,00:00:31.440,00:00:35.680,787,893
8,00:00:35.720,00:00:43.240,894,1082
9,00:00:43.280,00:00:50.600,1083,1266
10,00:00:50.640,00:00:55.080,1267,1378
11,00:00:55.120,00:01:00.840,1379,1522
12,00:01:00.880,00:01:06.080,1523,1653
13,00:01:06.120,00:01:14.480,1654,1863
14,00:01:14.520,00:01:18.040,1864,1952
