No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.840,1,147
2,00:00:05.880,00:00:08.320,148,209
3,00:00:08.360,00:00:11.360,210,285
4,00:00:11.400,00:00:14.400,286,361
5,00:00:14.440,00:00:18.320,362,459
6,00:00:18.360,00:00:20.720,460,519
7,00:00:20.760,00:00:23.080,520,578
8,00:00:23.120,00:00:26.120,579,654
9,00:00:26.160,00:00:41.080,655,1028
10,00:00:41.120,00:00:44.600,1029,1116
11,00:00:44.640,00:00:48.880,1117,1223
12,00:00:48.920,00:00:50.880,1224,1273
13,00:00:50.920,00:00:54.600,1274,1366
14,00:00:54.640,00:00:56.720,1367,1419
15,00:00:56.760,00:00:59.880,1420,1498
16,00:00:59.920,00:01:03.440,1499,1587
17,00:01:03.480,00:01:10.720,1588,1769
18,00:01:10.760,00:01:14.960,1770,1875
19,00:01:15.000,00:01:19.800,1876,1996
20,00:01:19.840,00:01:21.320,1997,2034
21,00:01:21.360,00:01:24.840,2035,2122
22,00:01:24.880,00:01:28.000,2123,2201
23,00:01:28.040,00:01:32.760,2202,2320
24,00:01:32.800,00:01:35.560,2321,2390
25,00:01:35.600,00:01:39.400,2391,2486
26,00:01:39.440,00:01:43.040,2487,2577
27,00:01:43.080,00:01:46.840,2578,2672
28,00:01:46.880,00:01:49.240,2673,2732
29,00:01:49.280,00:01:53.880,2733,2848
30,00:01:53.920,00:01:56.280,2849,2908
31,00:01:56.320,00:01:59.200,2909,2981
32,00:01:59.240,00:02:07.920,2982,3199
