No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.720,1,69
2,00:00:02.760,00:00:08.240,70,207
3,00:00:08.280,00:00:10.360,208,260
4,00:00:10.400,00:00:15.560,261,390
5,00:00:15.600,00:00:21.800,391,546
6,00:00:21.840,00:00:25.400,547,636
7,00:00:25.440,00:00:26.960,637,675
8,00:00:27.000,00:00:30.160,676,755
9,00:00:30.200,00:00:32.800,756,821
10,00:00:32.840,00:00:35.480,822,888
11,00:00:35.520,00:00:39.600,889,991
12,00:00:39.640,00:00:41.720,992,1044
13,00:00:41.760,00:00:45.280,1045,1133
14,00:00:45.320,00:00:47.120,1134,1179
15,00:00:47.160,00:00:49.760,1180,1245
16,00:00:49.800,00:00:51.000,1246,1276
17,00:00:51.040,00:00:52.880,1277,1323
18,00:00:52.920,00:00:54.560,1324,1365
19,00:00:54.600,00:00:58.160,1366,1455
20,00:00:58.200,00:01:02.760,1456,1570
21,00:01:02.800,00:01:02.800,1571,1571
22,00:01:02.840,00:01:05.400,1572,1636
23,00:01:05.440,00:01:09.320,1637,1734
24,00:01:09.360,00:01:17.760,1735,1945
25,00:01:17.800,00:01:21.360,1946,2035
26,00:01:21.400,00:01:28.440,2036,2212
27,00:01:28.480,00:01:35.480,2213,2388
28,00:01:35.520,00:01:46.720,2389,2669
29,00:01:46.760,00:01:55.760,2670,2895
30,00:01:55.800,00:01:59.040,2896,2977
31,00:01:59.080,00:02:03.920,2978,3099
32,00:02:03.960,00:02:07.200,3100,3181
33,00:02:07.240,00:02:09.880,3182,3248
34,00:02:09.920,00:02:29.800,3249,3746
35,00:02:29.840,00:02:32.040,3747,3802
36,00:02:32.080,00:02:41.760,3803,4045
37,00:02:41.800,00:02:46.240,4046,4157
38,00:02:46.280,00:02:50.000,4158,4251
39,00:02:50.040,00:02:55.480,4252,4388
40,00:02:55.520,00:02:58.000,4389,4451
41,00:02:58.040,00:03:02.880,4452,4573
42,00:03:02.920,00:03:26.360,4574,5160
43,00:03:26.400,00:03:33.760,5161,5345
