No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:13.240,1,332
2,00:00:13.280,00:00:14.960,333,375
3,00:00:15.000,00:00:18.120,376,454
4,00:00:18.160,00:00:21.240,455,532
5,00:00:21.280,00:00:25.520,533,639
6,00:00:25.560,00:00:30.320,640,759
7,00:00:30.360,00:00:36.680,760,918
8,00:00:36.720,00:00:38.360,919,960
9,00:00:38.400,00:00:39.880,961,998
10,00:00:39.920,00:00:42.000,999,1051
11,00:00:42.040,00:00:45.960,1052,1150
12,00:00:46.000,00:00:50.280,1151,1258
13,00:00:50.320,00:00:53.680,1259,1343
14,00:00:53.720,00:00:57.000,1344,1426
15,00:00:57.040,00:01:00.400,1427,1511
16,00:01:00.440,00:01:03.240,1512,1582
17,00:01:03.280,00:01:04.600,1583,1616
18,00:01:04.640,00:01:06.200,1617,1656
19,00:01:06.240,00:01:07.800,1657,1696
20,00:01:07.840,00:01:10.800,1697,1771
21,00:01:10.840,00:01:13.440,1772,1837
22,00:01:13.480,00:01:16.320,1838,1909
23,00:01:16.360,00:01:20.280,1910,2008
24,00:01:20.320,00:01:22.840,2009,2072
25,00:01:22.880,00:01:25.000,2073,2126
26,00:01:25.040,00:01:27.000,2127,2176
27,00:01:27.040,00:01:29.880,2177,2248
28,00:01:29.920,00:01:31.800,2249,2296
29,00:01:31.840,00:01:35.240,2297,2382
30,00:01:35.280,00:01:36.600,2383,2416
31,00:01:36.640,00:01:38.000,2417,2451
32,00:01:38.040,00:01:39.000,2452,2476
33,00:01:39.040,00:01:40.280,2477,2508
34,00:01:40.320,00:01:42.120,2509,2554
35,00:01:42.160,00:01:44.680,2555,2618
36,00:01:44.720,00:01:50.800,2619,2771
37,00:01:50.840,00:01:53.040,2772,2827
38,00:01:53.080,00:01:58.120,2828,2954
39,00:01:58.160,00:02:01.840,2955,3047
40,00:02:01.880,00:02:05.560,3048,3140
41,00:02:05.600,00:02:12.000,3141,3301
42,00:02:12.040,00:02:14.200,3302,3356
43,00:02:14.240,00:02:21.040,3357,3527
44,00:02:21.080,00:02:23.840,3528,3597
45,00:02:23.880,00:02:26.680,3598,3668
46,00:02:26.720,00:02:29.880,3669,3748
47,00:02:29.920,00:02:32.280,3749,3808
48,00:02:32.320,00:02:34.840,3809,3872
49,00:02:34.880,00:02:36.760,3873,3920
50,00:02:36.800,00:02:41.080,3921,4028
51,00:02:41.120,00:02:43.920,4029,4099
52,00:02:43.960,00:02:45.400,4100,4136
53,00:02:45.440,00:02:48.720,4137,4219
54,00:02:48.760,00:02:50.960,4220,4275
55,00:02:51.000,00:02:53.360,4276,4335
56,00:02:53.400,00:02:56.480,4336,4413
57,00:02:56.520,00:02:57.280,4414,4433
58,00:02:57.320,00:02:58.120,4434,4454
59,00:02:58.160,00:03:00.120,4455,4504
60,00:03:00.160,00:03:04.680,4505,4618
