No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.120,1,54
2,00:00:02.160,00:00:03.680,55,93
3,00:00:03.720,00:00:05.480,94,138
4,00:00:05.520,00:00:08.880,139,223
5,00:00:08.920,00:00:10.040,224,252
6,00:00:10.080,00:00:12.760,253,320
7,00:00:12.800,00:00:15.800,321,396
8,00:00:15.840,00:00:19.960,397,500
9,00:00:20.000,00:00:22.480,501,563
10,00:00:22.520,00:00:24.880,564,623
11,00:00:24.920,00:00:26.480,624,663
12,00:00:26.520,00:00:30.680,664,768
13,00:00:30.720,00:00:32.040,769,802
14,00:00:32.080,00:00:35.400,803,886
15,00:00:35.440,00:00:45.320,887,1134
16,00:00:45.360,00:00:53.880,1135,1348
17,00:00:53.920,00:00:57.800,1349,1446
18,00:00:57.840,00:01:00.320,1447,1509
19,00:01:00.360,00:01:02.120,1510,1554
20,00:01:02.160,00:01:03.560,1555,1590
21,00:01:03.600,00:01:12.840,1591,1822
22,00:01:12.880,00:01:14.720,1823,1869
23,00:01:14.760,00:01:16.200,1870,1906
24,00:01:16.240,00:01:20.000,1907,2001
25,00:01:20.040,00:01:22.280,2002,2058
26,00:01:22.320,00:01:24.200,2059,2106
27,00:01:24.240,00:01:25.760,2107,2145
28,00:01:25.800,00:01:27.760,2146,2195
29,00:01:27.800,00:01:31.520,2196,2289
30,00:01:31.560,00:01:33.640,2290,2342
31,00:01:33.680,00:01:37.040,2343,2427
32,00:01:37.080,00:01:43.720,2428,2594
33,00:01:43.760,00:01:48.600,2595,2716
34,00:01:48.640,00:01:50.640,2717,2767
35,00:01:50.680,00:01:53.640,2768,2842
36,00:01:53.680,00:01:55.520,2843,2889
37,00:01:55.560,00:01:56.960,2890,2925
38,00:01:57.000,00:01:58.720,2926,2969
39,00:01:58.760,00:01:59.840,2970,2997
40,00:01:59.880,00:02:01.240,2998,3032
41,00:02:01.280,00:02:02.840,3033,3072
42,00:02:02.880,00:02:05.400,3073,3136
43,00:02:05.440,00:02:17.920,3137,3449
44,00:02:17.960,00:02:33.280,3450,3833
45,00:02:33.320,00:02:45.560,3834,4140
46,00:02:45.600,00:02:47.640,4141,4192
47,00:02:47.680,00:02:51.360,4193,4285
48,00:02:51.400,00:02:55.800,4286,4396
49,00:02:55.840,00:02:57.640,4397,4442
50,00:02:57.680,00:03:00.520,4443,4514
51,00:03:00.560,00:03:00.680,4515,4518
