No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.840,1,22
2,00:00:00.880,00:00:05.240,23,132
3,00:00:05.280,00:00:12.040,133,302
4,00:00:12.080,00:00:20.480,303,513
5,00:00:20.520,00:00:33.920,514,849
6,00:00:33.960,00:00:46.360,850,1160
7,00:00:46.400,00:00:47.480,1161,1188
8,00:00:47.520,00:00:48.840,1189,1222
9,00:00:48.880,00:01:04.840,1223,1622
10,00:01:04.880,00:01:06.720,1623,1669
11,00:01:06.760,00:01:09.760,1670,1745
12,00:01:09.800,00:01:15.200,1746,1881
13,00:01:15.240,00:01:21.360,1882,2035
14,00:01:21.400,00:01:23.920,2036,2099
15,00:01:23.960,00:01:27.560,2100,2190
16,00:01:27.600,00:01:29.640,2191,2242
17,00:01:29.680,00:01:31.840,2243,2297
18,00:01:31.880,00:01:33.720,2298,2344
19,00:01:33.760,00:01:35.400,2345,2386
20,00:01:35.440,00:01:39.440,2387,2487
21,00:01:39.480,00:01:43.760,2488,2595
22,00:01:43.800,00:01:53.760,2596,2845
23,00:01:53.800,00:01:55.400,2846,2886
24,00:01:55.440,00:01:58.640,2887,2967
25,00:01:58.680,00:02:00.320,2968,3009
26,00:02:00.360,00:02:04.000,3010,3101
27,00:02:04.040,00:02:06.320,3102,3159
28,00:02:06.360,00:02:08.600,3160,3216
29,00:02:08.640,00:02:11.480,3217,3288
30,00:02:11.520,00:02:14.320,3289,3359
31,00:02:14.360,00:02:20.200,3360,3506
32,00:02:20.240,00:02:23.240,3507,3582
33,00:02:23.280,00:02:27.680,3583,3693
34,00:02:27.720,00:02:29.560,3694,3740
35,00:02:29.600,00:02:32.120,3741,3804
36,00:02:32.160,00:02:34.640,3805,3867
37,00:02:34.680,00:02:43.920,3868,4099
38,00:02:43.960,00:02:46.000,4100,4151
39,00:02:46.040,00:02:50.200,4152,4256
40,00:02:50.240,00:02:52.320,4257,4309
41,00:02:52.360,00:02:54.160,4310,4355
42,00:02:54.200,00:03:00.400,4356,4511
43,00:03:00.440,00:03:06.280,4512,4658
44,00:03:06.320,00:03:08.280,4659,4708
