No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.400,1,36
2,00:00:01.440,00:00:06.360,37,160
3,00:00:06.400,00:00:10.160,161,255
4,00:00:10.200,00:00:14.960,256,375
5,00:00:15.000,00:00:23.120,376,579
6,00:00:23.160,00:00:25.400,580,636
7,00:00:25.440,00:00:30.360,637,760
8,00:00:30.400,00:00:34.240,761,857
9,00:00:34.280,00:00:46.520,858,1164
10,00:00:46.560,00:00:51.000,1165,1276
11,00:00:51.040,00:00:57.000,1277,1426
12,00:00:57.040,00:01:01.120,1427,1529
13,00:01:01.160,00:01:04.280,1530,1608
14,00:01:04.320,00:01:09.400,1609,1736
15,00:01:09.440,00:01:09.920,1737,1749
