No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.120,1,104
2,00:00:04.160,00:00:05.640,105,142
3,00:00:05.680,00:00:07.240,143,182
4,00:00:07.280,00:00:12.320,183,309
5,00:00:12.360,00:00:13.680,310,343
6,00:00:13.720,00:00:15.600,344,391
7,00:00:15.640,00:00:17.840,392,447
8,00:00:17.880,00:00:23.440,448,587
9,00:00:23.480,00:00:25.480,588,638
10,00:00:25.520,00:00:27.880,639,698
11,00:00:27.920,00:00:29.800,699,746
12,00:00:29.840,00:00:32.480,747,813
13,00:00:32.520,00:00:35.760,814,895
14,00:00:35.800,00:00:36.720,896,919
15,00:00:36.760,00:00:40.080,920,1003
16,00:00:40.120,00:00:41.200,1004,1031
17,00:00:41.240,00:00:42.400,1032,1061
18,00:00:42.440,00:00:43.960,1062,1100
19,00:00:44.000,00:00:48.880,1101,1223
20,00:00:48.920,00:00:50.080,1224,1253
