No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.360,1,85
2,00:00:03.400,00:00:06.040,86,152
3,00:00:06.080,00:00:07.840,153,197
4,00:00:07.880,00:00:09.320,198,234
5,00:00:09.360,00:00:10.760,235,270
6,00:00:10.800,00:00:12.480,271,313
7,00:00:12.520,00:00:16.720,314,419
8,00:00:16.760,00:00:19.920,420,499
9,00:00:19.960,00:00:21.160,500,530
10,00:00:21.200,00:00:22.760,531,570
11,00:00:22.800,00:00:24.880,571,623
12,00:00:24.920,00:00:29.920,624,749
13,00:00:29.960,00:00:31.840,750,797
14,00:00:31.880,00:00:33.440,798,837
15,00:00:33.480,00:00:34.320,838,859
16,00:00:34.360,00:00:35.240,860,882
17,00:00:35.280,00:00:36.360,883,910
18,00:00:36.400,00:00:39.000,911,976
19,00:00:39.040,00:00:40.800,977,1021
20,00:00:40.840,00:00:41.560,1022,1040
21,00:00:41.600,00:00:42.520,1041,1064
22,00:00:42.560,00:00:43.440,1065,1087
23,00:00:43.480,00:00:48.720,1088,1219
24,00:00:48.760,00:00:51.040,1220,1277
25,00:00:51.080,00:00:51.800,1278,1296
26,00:00:51.840,00:00:52.720,1297,1319
27,00:00:52.760,00:00:53.840,1320,1347
28,00:00:53.880,00:00:54.880,1348,1373
29,00:00:54.920,00:00:56.000,1374,1401
30,00:00:56.040,00:00:57.680,1402,1443
31,00:00:57.720,00:00:59.520,1444,1489
32,00:00:59.560,00:01:01.560,1490,1540
33,00:01:01.600,00:01:04.080,1541,1603
34,00:01:04.120,00:01:07.960,1604,1700
35,00:01:08.000,00:01:11.200,1701,1781
36,00:01:11.240,00:01:12.520,1782,1814
37,00:01:12.560,00:01:14.120,1815,1854
38,00:01:14.160,00:01:16.560,1855,1915
39,00:01:16.600,00:01:17.760,1916,1945
40,00:01:17.800,00:01:19.120,1946,1979
41,00:01:19.160,00:01:20.720,1980,2019
42,00:01:20.760,00:01:22.360,2020,2060
43,00:01:22.400,00:01:23.440,2061,2087
44,00:01:23.480,00:01:24.440,2088,2112
45,00:01:24.480,00:01:26.200,2113,2156
46,00:01:26.240,00:01:28.360,2157,2210
47,00:01:28.400,00:01:33.480,2211,2338
48,00:01:33.520,00:01:35.280,2339,2383
49,00:01:35.320,00:01:37.760,2384,2445
50,00:01:37.800,00:01:39.560,2446,2490
51,00:01:39.600,00:01:41.400,2491,2536
52,00:01:41.440,00:01:42.800,2537,2571
53,00:01:42.840,00:01:44.520,2572,2614
54,00:01:44.560,00:01:46.080,2615,2653
55,00:01:46.120,00:01:47.800,2654,2696
56,00:01:47.840,00:01:49.640,2697,2742
57,00:01:49.680,00:01:51.240,2743,2782
58,00:01:51.280,00:01:53.480,2783,2838
59,00:01:53.520,00:01:56.480,2839,2913
60,00:01:56.520,00:01:57.040,2914,2927
