No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.000,1,76
2,00:00:03.040,00:00:06.840,77,172
3,00:00:06.880,00:00:09.280,173,233
4,00:00:09.320,00:00:17.960,234,450
5,00:00:18.000,00:00:21.640,451,542
6,00:00:21.680,00:00:27.360,543,685
7,00:00:27.400,00:00:31.880,686,798
8,00:00:31.920,00:00:35.400,799,886
9,00:00:35.440,00:00:38.080,887,953
10,00:00:38.120,00:00:40.160,954,1005
11,00:00:40.200,00:00:41.520,1006,1039
12,00:00:41.560,00:00:42.600,1040,1066
13,00:00:42.640,00:00:46.000,1067,1151
14,00:00:46.040,00:00:48.000,1152,1201
