No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.160,1,130
2,00:00:05.200,00:00:06.280,131,158
3,00:00:06.320,00:00:12.240,159,307
4,00:00:12.280,00:00:13.040,308,327
5,00:00:13.080,00:00:14.360,328,360
6,00:00:14.400,00:00:22.000,361,551
7,00:00:22.040,00:00:22.840,552,572
8,00:00:22.880,00:00:25.240,573,632
9,00:00:25.280,00:00:27.640,633,692
10,00:00:27.680,00:00:28.440,693,712
11,00:00:28.480,00:00:29.480,713,738
12,00:00:29.520,00:00:32.520,739,814
13,00:00:32.560,00:00:45.800,815,1146
14,00:00:45.840,00:00:48.440,1147,1212
15,00:00:48.480,00:00:49.120,1213,1229
16,00:00:49.160,00:00:52.080,1230,1303
17,00:00:52.120,00:00:53.920,1304,1349
18,00:00:53.960,00:00:58.000,1350,1451
19,00:00:58.040,00:01:00.880,1452,1523
20,00:01:00.920,00:01:03.640,1524,1592
21,00:01:03.680,00:01:07.400,1593,1686
22,00:01:07.440,00:01:08.040,1687,1702
