No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.280,1,33
2,00:00:01.320,00:00:02.280,34,58
3,00:00:02.320,00:00:03.560,59,90
4,00:00:03.600,00:00:05.480,91,138
5,00:00:05.520,00:00:30.080,139,753
6,00:00:30.120,00:00:33.280,754,833
7,00:00:33.320,00:00:35.160,834,880
8,00:00:35.200,00:00:37.720,881,944
9,00:00:37.760,00:00:48.520,945,1214
10,00:00:48.560,00:00:50.160,1215,1255
11,00:00:50.200,00:00:52.240,1256,1307
12,00:00:52.280,00:01:09.040,1308,1727
13,00:01:09.080,00:01:10.680,1728,1768
14,00:01:10.720,00:01:11.600,1769,1791
15,00:01:11.640,00:01:12.760,1792,1820
16,00:01:12.800,00:01:14.920,1821,1874
17,00:01:14.960,00:01:37.440,1875,2437
18,00:01:37.480,00:01:39.160,2438,2480
19,00:01:39.200,00:02:10.040,2481,3252
20,00:02:10.080,00:02:11.560,3253,3290
21,00:02:11.600,00:02:12.920,3291,3324
22,00:02:12.960,00:02:18.120,3325,3454
