No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.440,1,62
2,00:00:02.480,00:00:06.200,63,156
3,00:00:06.240,00:00:08.080,157,203
4,00:00:08.120,00:00:09.960,204,250
5,00:00:10.000,00:00:11.840,251,297
6,00:00:11.880,00:00:13.640,298,342
7,00:00:13.680,00:00:15.440,343,387
8,00:00:15.480,00:00:17.240,388,432
9,00:00:17.280,00:00:19.040,433,477
10,00:00:19.080,00:00:20.880,478,523
11,00:00:20.920,00:00:23.600,524,591
12,00:00:23.640,00:00:24.520,592,614
13,00:00:24.560,00:00:26.320,615,659
14,00:00:26.360,00:00:28.120,660,704
15,00:00:28.160,00:00:29.960,705,750
16,00:00:30.000,00:00:31.760,751,795
17,00:00:31.800,00:00:34.560,796,865
18,00:00:34.600,00:00:36.320,866,909
19,00:00:36.360,00:00:39.160,910,980
20,00:00:39.200,00:00:40.880,981,1023
21,00:00:40.920,00:00:46.080,1024,1153
22,00:00:46.120,00:00:48.000,1154,1201
23,00:00:48.040,00:00:49.640,1202,1242
24,00:00:49.680,00:00:51.400,1243,1286
25,00:00:51.440,00:00:54.440,1287,1362
26,00:00:54.480,00:00:57.840,1363,1447
27,00:00:57.880,00:00:59.760,1448,1495
28,00:00:59.800,00:01:03.200,1496,1581
29,00:01:03.240,00:01:10.000,1582,1751
30,00:01:10.040,00:01:11.840,1752,1797
31,00:01:11.880,00:01:13.480,1798,1838
32,00:01:13.520,00:01:15.880,1839,1898
