No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.080,1,28
2,00:00:01.120,00:00:02.560,29,65
3,00:00:02.600,00:00:03.840,66,97
4,00:00:03.880,00:00:05.400,98,136
5,00:00:05.440,00:00:07.400,137,186
6,00:00:07.440,00:00:10.200,187,256
7,00:00:10.240,00:00:15.240,257,382
8,00:00:15.280,00:00:19.040,383,477
9,00:00:19.080,00:00:20.240,478,507
10,00:00:20.280,00:00:23.320,508,584
11,00:00:23.360,00:00:24.200,585,606
12,00:00:24.240,00:00:26.000,607,651
13,00:00:26.040,00:00:30.600,652,766
14,00:00:30.640,00:00:31.200,767,781
15,00:00:31.240,00:00:31.920,782,799
16,00:00:31.960,00:00:33.080,800,828
17,00:00:33.120,00:00:34.960,829,875
18,00:00:35.000,00:00:36.160,876,905
19,00:00:36.200,00:00:37.440,906,937
20,00:00:37.480,00:00:39.080,938,978
21,00:00:39.120,00:00:40.480,979,1013
22,00:00:40.520,00:00:42.440,1014,1062
23,00:00:42.480,00:00:45.880,1063,1148
24,00:00:45.920,00:00:48.120,1149,1204
25,00:00:48.160,00:00:49.520,1205,1239
26,00:00:49.560,00:00:51.840,1240,1297
27,00:00:51.880,00:00:53.960,1298,1350
28,00:00:54.000,00:00:55.640,1351,1392
29,00:00:55.680,00:00:57.920,1393,1449
30,00:00:57.960,00:01:00.720,1450,1519
31,00:01:00.760,00:01:03.400,1520,1586
32,00:01:03.440,00:01:08.240,1587,1707
33,00:01:08.280,00:01:11.160,1708,1780
34,00:01:11.200,00:01:12.920,1781,1824
35,00:01:12.960,00:01:16.440,1825,1912
36,00:01:16.480,00:01:18.840,1913,1972
37,00:01:18.880,00:01:21.600,1973,2041
38,00:01:21.640,00:01:27.280,2042,2183
39,00:01:27.320,00:01:29.680,2184,2243
40,00:01:29.720,00:01:33.000,2244,2326
41,00:01:33.040,00:01:42.400,2327,2561
42,00:01:42.440,00:01:43.360,2562,2585
43,00:01:43.400,00:01:51.600,2586,2791
